N,x,y
424,44.970512,42.085871
427,45.026324,41.969625
445,45.128205,42.05716
429,45.135061,41.875789
430,45.145646,41.835873
438,45.313082,42.196515
443,45.336833,42.258837
447,45.417244,42.144067
448,45.510346,42.071866
450,45.696064,42.026348
452,45.718934,42.012347
454,45.801676,41.963841
456,45.968625,41.914304
463,46.274387,41.82957
432,45.309955,41.700646
442,46.450244,41.446447
440,45.58200868470981,41.98792251736575
441,46.081970577858336,41.67597893441397
101,45.887,41.273
102,45.785,41.358
103,46.189,41.198
104,45.529,41.618